Antimicrobial Level Phenotypic Resistance Prevalence (Retail Meats and Cecal),,,,,,,,,,,,,,,,
Retail Meats,Year,N,AMC,AMP,AXO,AZI,CHL,CIP,COT,FIS,FOX,GEN,MER,NTL,SMX,TET
,2002,295,2.03,6.1,0,NT,1.02,0,0.68,NT,0,0.34,NT,0,10.17,30.85
,2003,311,2.25,5.14,0.32,NT,2.25,0,0.32,NT,0,0.96,NT,0.96,10.29,25.08
,2004,338,3.85,5.33,1.48,NT,3.55,0,0.59,13.02,1.18,0.59,NT,1.48,NT,22.78
,2005,316,1.27,3.48,1.9,NT,1.58,0.32,0.63,6.96,0.95,0,NT,1.27,NT,16.46
,2006,295,2.37,9.15,1.69,NT,1.36,0,1.36,12.54,2.03,4.07,NT,0.68,NT,25.42
,2007,256,0.78,6.64,0.78,NT,3.91,0,1.17,9.38,0.78,0,NT,0.39,NT,21.88
,2008,250,2.4,6.4,1.6,NT,0.8,0,2,11.6,2.4,2,NT,0.4,NT,24
,2009,247,1.62,4.88,0.81,NT,2.43,0,2.02,7.69,1.62,0.81,NT,0.41,NT,18.62
,2010,269,1.12,4.83,1.12,NT,2.6,0,0.74,12.64,1.12,0.37,NT,0,NT,22.68
,2011,215,0.47,3.72,0.47,0,1.4,0,2.33,7.91,0.47,0.47,NT,0,NT,17.67
,2012,271,1.48,2.58,0,0,1.11,0,0.37,7.38,1.85,0.74,NT,1.48,NT,22.14
,2013,227,1.76,4.85,2.2,0,3.96,0,1.76,7.93,1.32,0,NT,0.44,NT,22.47
,2014,205,0.49,4.39,0.49,0,0.49,0,0.98,7.8,0.98,0.49,NT,0,NT,21.46
,2015,227,0.44,2.64,0.44,0,1.32,0,1.32,7.49,0.44,0.44,NT,0.44,NT,18.5
,2016,174,1.15,6.32,0.57,0,5.17,0,1.15,9.77,1.15,0.57,0,0,NT,23.56
,2017,271,0.37,6.27,0.37,0,2.58,0,1.11,6.27,0,0,0,1.85,NT,21.77
,2018,310,2.26,9.35,1.94,0.65,7.1,0.32,6.77,14.52,1.29,1.61,0,2.27,NT,27.1
,2019,286,0,2.1,0,0,2.45,0,0.7,6.64,0,0.7,0,0.7,NT,19.58
,2020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2021,386,1.3,6.74,1.04,0.26,4.15,0.26,2.07,10.62,0.78,1.04,0,1.04,NT,20.98
Mean,2002 - 2021,5149,1.44,5.31,0.91,0.09,2.59,0.05,1.48,9.42,0.97,0.8,0,0.73,10.23,22.26
Standard Deviation,2002 - 2021,5149,0.95,1.98,0.71,0.21,1.7,0.11,1.42,2.59,0.71,0.95,0,0.68,0.08,3.43
Cecal,2013,293,0,3.75,0,0,3.75,0,0,9.22,0,0.34,NT,0,NT,25.94
,2014,326,0.61,5.21,0.92,0,3.68,0,0.92,11.96,0.61,0.61,NT,0.31,NT,37.42
,2015,566,1.24,6.54,0.88,0,6.36,1.24,0.53,16.43,1.24,0.71,NT,2.13,NT,39.22
,2016,738,0.81,6.1,0.81,0.27,6.78,0.41,0.54,14.63,0.68,0,0,1.09,NT,38.75
,2017,936,0.43,5.02,0.53,0.11,5.24,0,0.75,15.71,0.32,0,0,0.97,NT,37.61
,2018,1029,0.49,6.51,0.39,0,8.07,0.39,0.87,15.45,0.49,0.29,0,1.86,NT,35.67
,2019,759,0.4,5.67,0.4,0.13,6.72,0.13,1.32,13.57,0.26,0.26,0,1.86,NT,33.2
,2020,477,6.5,23.9,7.34,1.05,14.47,1.26,12.58,25.58,6.71,1.89,0,2.1,NT,44.03
,2021,282,2.48,13.12,5.32,1.42,10.64,0.71,6.03,19.86,2.84,2.13,0,1.79,NT,39.36
,2022,407,6.14,22.85,8.6,1.47,16.22,0.49,14,28.75,5.9,1.47,0,1.72,NT,44.96
,2023,219,0.46,8.22,0.46,0,5.94,0.91,1.83,15.07,0.46,0.46,0,1.37,NT,32.88
Mean,2013 - 2023,6032,1.78,9.72,2.33,0.4,7.99,0.5,3.58,16.93,1.77,0.74,0,1.38,NT,37.19
Standard Deviation,2013 - 2023,6032,2.34,7.18,3.15,0.6,4.13,0.47,5.07,5.76,2.37,0.75,0,0.72,NT,5.31
